product_id,category,name,cost,price
1,Electronics,Smartphone,200.00,499.99
2,Furniture,Chair,50.00,149.99
3,Clothing,T-shirt,10.00,19.99
4,Electronics,Laptop,500.00,1299.99
5,Groceries,Bananas,0.50,1.99
6,Electronics,Headphones,50.00,149.99
7,Furniture,Desk,120.00,349.99
8,Groceries,Apples,0.80,2.49
9,Clothing,Jeans,25.00,49.99
10,Electronics,Smartwatch,100.00,249.99
11,Furniture,Couch,300.00,899.99
12,Groceries,Milk,1.50,3.99
13,Clothing,Jacket,40.00,79.99
14,Electronics,Tablet,150.00,399.99
15,Groceries,Bread,1.00,2.49
16,Clothing,Shoes,30.00,79.99
17,Electronics,Camera,400.00,999.99
18,Furniture,Coffee Table,70.00,199.99
19,Clothing,Sweater,35.00,89.99
20,Electronics,Monitor,150.00,399.99
21,Furniture,Bookshelf,60.00,169.99
22,Clothing,Hat,15.00,29.99
23,Groceries,Carrots,1.20,2.99
24,Electronics,Speakers,80.00,199.99
25,Groceries,Potatoes,0.60,2.49
26,Electronics,Gaming Console,250.00,499.99
27,Furniture,Nightstand,40.00,129.99
28,Clothing,Socks,5.00,9.99
29,Electronics,Projector,350.00,799.99
30,Furniture,Dining Table,200.00,599.99
